Product                ;emoji ;Soort    ;Januari ;Februari ;Maart ;April ;Mei ;Juni ;Juli ;Augustus ;September ;Oktober ;November ;December ;Lokaal ;Follicular ;Ovulatory ;Luteal ;Menstrual ;FODMAP ;FODMAP-light ;Dirty-Fifteen
Prei                   ;🥬    ;Groente  ;      1 ;       1 ;    1 ;    1 ;  1 ;   1 ;     ;         ;        1 ;      1 ;       1 ;       1 ;     1 ;           ;          ;       ;          ;     0 ;             ;
Rabarber               ;🥗    ;Groente  ;        ;         ;    1 ;    1 ;  1 ;   1 ;   1 ;         ;          ;        ;         ;         ;     0 ;           ;          ;       ;          ;     2 ;             ;
Radijs                 ;🥕    ;Groente  ;        ;         ;    1 ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;         ;         ;     1 ;           ;          ;     1 ;          ;     2 ;             ;
Rammenas               ;🥕    ;Groente  ;      1 ;       1 ;    1 ;      ;    ;     ;     ;         ;          ;      1 ;       1 ;       1 ;     1 ;           ;          ;     1 ;          ;     2 ;             ;
Rode biet              ;🥕    ;Groente  ;      1 ;       1 ;    1 ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     1 ;           ;          ;     1 ;        1 ;     1 ;             ;
Rode kool              ;🥬    ;Groente  ;      1 ;       1 ;    1 ;      ;    ;     ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     1 ;           ;          ;     1 ;        1 ;     1 ;             ;
Savooiekool            ;🥬    ;Groente  ;      1 ;       1 ;    1 ;      ;    ;     ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     1 ;           ;          ;     1 ;        1 ;     1 ;             ;
Schorseneren           ;🥦    ;Groente  ;      1 ;       1 ;    1 ;      ;    ;     ;     ;         ;          ;      1 ;       1 ;       1 ;     1 ;           ;          ;       ;          ;       ;             ;
Shiitake               ;🍄    ;Groente  ;        ;         ;      ;      ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;         ;         ;     1 ;         1 ;          ;       ;          ;     0 ;             ;
Snijbiet               ;🥬    ;Groente  ;        ;         ;      ;      ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;         ;         ;     1 ;           ;          ;       ;        1 ;     1 ;             ;
Snijbonen              ;🥗    ;Groente  ;        ;         ;      ;      ;    ;   1 ;   1 ;       1 ;        1 ;      1 ;         ;         ;     1 ;           ;          ;     1 ;        1 ;     0 ;             ;
